id,is_risk
0,0.051991519855085176
1,0.051659653337412494
2,0.0522941179513986
3,0.05099017615276691
4,0.05675720511072617
5,0.06436313374952886
6,0.05448157016575106
7,0.05258829512474429
8,0.061935116750736575
9,0.05401986152036135
10,0.06402077242998802
11,0.06448312865519495
12,0.05316291098075572
13,0.08690403855907049
14,0.05491939512239156
15,0.06006757663940736
16,0.05321874997000002
17,0.1600568468020926
18,0.05124867577611247
19,0.0606998040105464
20,0.05698149686114011
21,0.06705426300314678
22,0.0655691681300693
23,0.051870333688680936
24,0.0533411743817276
25,0.055186644112963625
26,0.051148811106367945
27,0.055238845549688796
28,0.05131271203301764
29,0.05083722290179756
30,0.052647159309668776
31,0.05128110106659919
32,0.051080823300347154
33,0.05730512117550925
34,0.08653566653654503
35,0.05176340485359894
36,0.05230668162243109
37,0.052083634856736095
38,0.051783502338231716
39,0.053068830558838466
40,0.051915540002484085
41,0.16915620658570854
42,0.05236352293781562
43,0.06487989736449493
44,0.052656371661745714
45,0.05714223281974985
46,0.05083068221626634
47,0.0615754470728039
48,0.05166218160487025
49,0.23154001761599163
50,0.21373796706230924
51,0.0516310317263012
52,0.05084709228886367
53,0.05071743588758226
54,0.06057406889988985
55,0.05319218132075443
56,0.13372911112804953
57,0.17831522165958408
58,0.23005849197281467
59,0.056202274123745635
60,0.05063364565082561
61,0.24289304055402625
62,0.7907330778058028
63,0.05249316109378167
64,0.2184512842755979
65,0.05006329413596794
66,0.05403527001845785
67,0.05419936111926935
68,0.059052396971826605
69,0.05402472842417805
70,0.05218114192304241
71,0.052466325741935924
72,0.050967906168029174
73,0.05218502555278172
74,0.052060345347003566
75,0.055182217571654105
76,0.07451734719980538
77,0.05569809321430954
78,0.05741710806764454
79,0.06502921147447406
80,0.05910700927163696
81,0.05300313979252198
82,0.051123947143554435
83,0.05221613441410794
84,0.13961350248456011
85,0.0544048097874655
86,0.05752228353857752
87,0.052142075186487405
88,0.055610585160427786
89,0.05387608233143718
90,0.0516290782590436
91,0.19609689079783657
92,0.11087291450304326
93,0.2311248484132184
94,0.052904706670324465
95,0.05409334658093664
96,0.053079267439317804
97,0.05307887043516957
98,0.06548894478782817
99,0.05243193515526688
100,0.05667982795313453
101,0.05173580863512987
102,0.05156737449113994
103,0.052477933429250646
104,0.06700345441921195
105,0.05562127970306445
106,0.052749059773797145
107,0.05172028019483628
108,0.11591152167890209
109,0.052551486937323186
110,0.05691517999405572
111,0.05285051249229291
112,0.05058834712185641
113,0.05432886616661059
114,0.05413850976884571
115,0.054687213374796616
116,0.05467524453379409
